"Museumsname"	"Standort"	"Lat"	"Long"	"object"	"Hersteller.Künstler"	"Land.Ort"	"Lat_origin"	"Long_origin"
"Heimatmuseum"	"Ahlen"	"51.76159"	"7.88892"	"decorative"	"China/Deutschland (vermutlich)"	"China"	"39.9064"	"116.3913"
"Sauerland-Museum"	"Arnsberg"	"51.39693"	"8.06497"	"domestic"	"England"	"England"	"51.5124"	"-0.1196"
"Wittgensteiner Heimathaus"	"Bad Berleburg"	"51.07838"	"8.49880"	"domestic"	NA	"China"	"39.9064"	"116.3913"
"Historisches Museum"	"Bielefeld"	"52.02271"	"8.54417"	"decorative"	NA	"Asien"	"42.52"	"122.61"
"Heimatkundliche Slg."	"Castrop-Rauxel"	"51.56413"	"7.30981"	"Chinesische Lackmalerei: Die Gebirgslandschaft"	NA	"Asien"	"42.52"	"122.61"
"Heimatmuseum Coesfeld"	"Coesfeld"	"51.94701"	"7.17257"	"decorative"	"Indien"	"Indien"	"28.5635"	"77.1528"
"Heimatmuseum Coesfeld"	"Coesfeld"	"51.94701"	"7.17257"	"decorative"	"Indien"	"Indien"	"28.5635"	"77.1528"
"Heimatmuseum Coesfeld"	"Coesfeld"	"51.94701"	"7.17257"	"decorative"	"Indien"	"Indien"	"28.5635"	"77.1528"
"Heimatmuseum Coesfeld"	"Coesfeld"	"51.94701"	"7.17257"	"decorative"	"Indien"	"Indien"	"28.5635"	"77.1528"
"Heimatmuseum Coesfeld"	"Coesfeld"	"51.94701"	"7.17257"	"decorative"	"Indien"	"Indien"	"28.5635"	"77.1528"
"Heimatmuseum Coesfeld"	"Coesfeld"	"51.94701"	"7.17257"	"decorative"	"Indien"	"Indien"	"28.5635"	"77.1528"
"Heimatmuseum Coesfeld"	"Coesfeld"	"51.94701"	"7.17257"	"decorative"	"Indien"	"Indien"	"28.5635"	"77.1528"
"Heimatmuseum Coesfeld"	"Coesfeld"	"51.94701"	"7.17257"	"decorative"	"Indien"	"Indien"	"28.5635"	"77.1528"
"Heimatmuseum Coesfeld"	"Coesfeld"	"51.94701"	"7.17257"	"decorative"	"Indien"	"Indien"	"28.5635"	"77.1528"
"Heimatmuseum Coesfeld"	"Coesfeld"	"51.94701"	"7.17257"	"decorative"	"Indien"	"Indien"	"28.5635"	"77.1528"
"Heimatmuseum Coesfeld"	"Coesfeld"	"51.94701"	"7.17257"	"decorative"	"Indien"	"Indien"	"28.5635"	"77.1528"
"Heimatmuseum Coesfeld"	"Coesfeld"	"51.94701"	"7.17257"	"decorative"	"Indien"	"Indien"	"28.5635"	"77.1528"
"Museum Höxter"	"Corvey"	"51.77859"	"9.41001"	"1/10 GULDEN"	"Niederländ. lndien"	"lndien"	"28.5635"	"77.1528"
"Museum Höxter"	"Corvey"	"51.77859"	"9.41001"	"money"	"Indien"	"Indien"	"28.5635"	"77.1528"
"Museum Höxter"	"Corvey"	"51.77859"	"9.41001"	"money"	"Indien"	"Indien"	"28.5635"	"77.1528"
"Museum Höxter"	"Corvey"	"51.77859"	"9.41001"	"KÄSCH"	"China"	"China"	"39.9064"	"116.3913"
"Korbmacher-Museum"	"Dalhausen"	"51.626016"	"9.2911"	"Mission"	NA	NA	"51.6273"	"9.2928"
"Stadtmuseum"	"Dorsten"	"51.74339"	"6.99914"	"decorative"	"Indien"	"Indien"	"28.5635"	"77.1528"
"Heimatmuseum Emsdetten August Holländer Museum"	"Emsdetten"	"52.17348"	"7.53146"	"weaponry"	"Orient or Afrika"	"Orient oder Afrika"	"21.9609"	"19.6463"
"Museum der Stadt Gladbeck, Schloss Wittringen"	"Gladbeck"	"51.56029"	"6.98148"	"decorative"	"China"	"China"	"39.9064"	"116.3913"
"Stadtmuseum"	"Gütersloh"	"51.90635"	"8.38033"	"printed"	NA	"Deutschland"	"52.5173"	"13.3889"
"Stadtmuseum"	"Gütersloh"	"51.90635"	"8.38033"	"printed"	"Deutsche Zentral-Druckrei A.G."	"Deutschland"	"52.5173"	"13.3889"
"Stadtmuseum"	"Gütersloh"	"51.90635"	"8.38033"	"printed"	"Verlag des Reichskolonialbundes"	"Deutschland"	"52.5173"	"13.3889"
"Stadtmuseum"	"Gütersloh"	"51.90635"	"8.38033"	"printed"	"Verlag des Reichskolonialbundes"	"Deutschland"	"52.5173"	"13.3889"
"Stadtmuseum"	"Gütersloh"	"51.90635"	"8.38033"	"printed"	"Verlag des Reichskolonialbundes"	"Deutschland"	"52.5173"	"13.3889"
